ID;Block;Duration;Aligned;MasksN;Target;Event;Time;SimCount
s03;1;30;0;1;2;1;18270;0
s03;1;30;0;1;0;0;18835;0
s03;1;30;0;1;0;1;20117;0
s03;1;30;0;1;1;0;20270;0
s03;1;30;0;1;1;1;20352;0
s03;1;30;0;1;1;0;21671;0
s03;1;30;0;1;2;0;21718;0
s03;1;30;0;1;0;0;21741;0
s03;1;30;0;1;2;1;22317;0
s03;1;30;0;1;1;1;22329;0
s03;1;30;0;1;0;1;22341;0
s03;1;30;0;1;0;0;23235;0
s03;1;30;0;1;1;0;23317;0
s03;1;30;0;1;1;1;23918;0
s03;1;30;0;1;0;1;23930;0
s03;1;30;0;1;1;0;24858;0
s03;1;30;0;1;0;0;24918;0
s03;1;30;0;1;1;1;25706;0
s03;1;30;0;1;0;1;25718;0
s03;1;30;0;1;2;0;25988;0
s03;1;30;0;1;1;0;26035;0
s03;1;30;0;1;2;1;26718;0
s03;1;30;0;1;1;1;26753;0
s03;1;30;0;1;2;0;27999;0
s03;1;30;0;1;1;0;28012;0
s03;1;30;0;1;0;0;28035;0
s03;1;30;0;1;2;1;28776;0
s03;1;30;0;1;1;1;28811;0
s03;1;30;0;1;0;1;28893;0
s03;1;30;0;1;0;0;29317;0
s03;1;30;0;1;0;1;29435;0
s03;2;30;1;3;1;0;6090;0
s03;2;30;1;3;1;1;6407;0
s03;2;30;1;3;1;0;9631;0
s03;2;30;1;3;0;0;9654;0
s03;2;30;1;3;2;0;9690;0
s03;2;30;1;3;2;1;9843;0
s03;2;30;1;3;1;1;10396;0
s03;2;30;1;3;0;1;10407;0
s03;2;30;1;3;0;0;11267;0
s03;2;30;1;3;1;0;11396;0
s03;2;30;1;3;0;1;12031;0
s03;2;30;1;3;1;1;12078;0
s03;2;30;1;3;1;0;12572;0
s03;2;30;1;3;1;1;13302;0
s03;2;30;1;3;0;0;14160;0
s03;2;30;1;3;0;1;14608;0
s03;2;30;1;3;1;0;15149;0
s03;2;30;1;3;1;1;15866;0
s03;2;30;1;3;0;0;16102;0
s03;2;30;1;3;0;1;16821;0
s03;2;30;1;3;1;0;17419;0
s03;2;30;1;3;0;0;17442;0
s03;2;30;1;3;2;0;17478;0
s03;2;30;1;3;2;1;18231;0
s03;2;30;1;3;1;1;18242;0
s03;2;30;1;3;0;1;18254;0
s03;2;30;1;3;2;0;20678;0
s03;2;30;1;3;1;0;20701;0
s03;2;30;1;3;0;0;20725;0
s03;2;30;1;3;2;1;21384;0
s03;2;30;1;3;1;1;21396;0
s03;2;30;1;3;0;1;21407;0
s03;2;30;1;3;1;0;22772;0
s03;2;30;1;3;2;0;22866;0
s03;2;30;1;3;2;1;23654;0
s03;2;30;1;3;1;1;23666;0
s03;2;30;1;3;2;0;23972;0
