ID;Block;Duration;Aligned;Target;Event;Time
s03;1;120;0;0;1;55101
s03;1;120;0;2;0;58901
s03;1;120;0;1;0;58959
s03;1;120;0;2;1;60619
s03;1;120;0;1;1;60666
s03;1;120;0;0;0;62913
s03;1;120;0;0;1;65301
s03;1;120;0;2;0;68372
s03;1;120;0;1;0;68395
s03;1;120;0;0;0;68418
s03;1;120;0;2;1;70372
s03;1;120;0;1;1;70383
s03;1;120;0;0;1;70395
s03;1;120;0;2;0;74053
s03;1;120;0;0;0;74077
s03;1;120;0;2;1;75689
s03;1;120;0;0;1;75736
s03;1;120;0;2;0;78701
s03;1;120;0;2;1;80712
s03;1;120;0;1;0;83454
s03;1;120;0;0;0;83465
s03;1;120;0;2;0;83500
s03;1;120;0;1;1;85606
s03;1;120;0;2;1;85653
s03;1;120;0;0;1;85688
s03;1;120;0;2;0;88723
s03;1;120;0;1;0;88747
s03;1;120;0;0;0;88771
s03;1;120;0;2;1;90688
s03;1;120;0;1;1;90700
s03;1;120;0;0;1;90735
s03;1;120;0;2;0;91124
s03;1;120;0;1;0;91170
s03;1;120;0;0;0;91196
s03;1;120;0;1;1;91464
s03;1;120;0;2;1;91512
s03;1;120;0;0;1;91524
s03;1;120;0;0;0;94547
s03;1;120;0;0;1;96770
s03;1;120;0;2;0;99805
s03;1;120;0;2;1;102394
s03;1;120;0;2;0;106628
s03;1;120;0;1;0;106652
s03;1;120;0;0;0;106665
s03;1;120;0;1;1;109099
s03;1;120;0;2;1;109146
s03;1;120;0;0;1;109159
s03;1;120;0;0;0;112711
s03;1;120;0;2;0;112758
s03;1;120;0;1;0;112805
s03;1;120;0;1;1;114713
s03;1;120;0;2;1;114747
s03;1;120;0;0;1;114758
s03;1;120;0;0;0;118346
s03;1;120;0;1;0;118405
s03;1;120;0;1;1;118428
s03;1;120;0;1;0;118734
s03;1;120;0;0;1;120000
s03;1;120;0;1;1;120000
s03;2;120;1;2;0;4195
s03;2;120;1;1;0;4219
s03;2;120;1;0;0;4242
s03;2;120;1;2;1;6878
